USAF,WBAN,YR--MODAHRMN,DIR,SPD,GUS,CLG,SKC,L,M,H,VSB,MW,MW,MW,MW,AW,AW,AW,AW,W,TEMP,DEWP,SLP,ALT,STP,MAX,MIN,PCP01,PCP06,PCP24,PCPXX,SD
720533,99999,2.01201E+11,150,6,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,30,9,******,30.28,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,230,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,30,7,******,30.28,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,140,10,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,30,9,******,30.28,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,170,9,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,30,9,******,30.29,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,150,5,17,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,30,9,******,30.28,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,120,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,30,9,******,30.28,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,30,9,******,30.28,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,28,9,******,30.28,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,60,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,28,9,******,30.28,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,28,9,******,30.28,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,20,6,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,25,10,******,30.27,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,280,7,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,10,******,30.27,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,25,10,******,30.26,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,320,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,10,******,30.27,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,290,7,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,25,10,******,30.26,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,350,7,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,25,10,******,30.26,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,310,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,12,******,30.28,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,290,6,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,12,******,30.29,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,340,9,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,25,12,******,30.3,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,330,7,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,25,12,******,30.31,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,330,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,25,12,******,30.33,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,25,12,******,30.32,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,300,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,25,10,******,30.33,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,25,10,******,30.35,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,270,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,25,10,******,30.36,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,300,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,10,******,30.37,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,27,9,******,30.39,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,27,10,******,30.41,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,220,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,27,10,******,30.41,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,25,10,******,30.41,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,25,10,******,30.41,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,60,6,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,10,******,30.43,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,12,******,30.44,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,12,******,30.44,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,27,12,******,30.44,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,25,12,******,30.44,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,20,6,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,27,14,******,30.47,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,20,6,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,28,12,******,30.5,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,360,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,27,14,******,30.51,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,360,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,28,14,******,30.51,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,320,8,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,30,14,******,30.51,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,360,8,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,30,14,******,30.53,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,360,7,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,30,14,******,30.54,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,340,7,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,32,14,******,30.53,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,10,8,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,32,14,******,30.53,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,10,10,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,32,12,******,30.54,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,20,7,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,34,12,******,30.53,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,50,6,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,34,12,******,30.52,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,40,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,34,12,******,30.51,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,100,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,34,14,******,30.51,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,80,6,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,34,14,******,30.5,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,90,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,34,12,******,30.51,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,30,7,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,34,14,******,30.51,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,30,7,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,34,16,******,30.52,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,40,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,34,16,******,30.53,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,10,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,34,16,******,30.53,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,34,16,******,30.54,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,32,16,******,30.54,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,32,18,******,30.54,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,32,16,******,30.55,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,30,18,******,30.56,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,30,16,******,30.56,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,30,18,******,30.56,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,30,18,******,30.55,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,210,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,30,18,******,30.55,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,220,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,30,16,******,30.56,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,30,18,******,30.57,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,27,18,******,30.58,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,27,18,******,30.58,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,27,18,******,30.58,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,28,16,******,30.58,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,27,18,******,30.59,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,27,18,******,30.59,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,27,18,******,30.59,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,27,18,******,30.59,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,230,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,27,18,******,30.6,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,27,18,******,30.59,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,25,16,******,30.59,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,140,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,25,16,******,30.58,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,210,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,25,16,******,30.58,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,270,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,16,******,30.58,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,330,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,16,******,30.58,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,16,******,30.59,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,230,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,25,16,******,30.58,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,230,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,25,16,******,30.58,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,14,******,30.58,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,14,******,30.59,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,180,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,14,******,30.59,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,190,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,14,******,30.59,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,16,******,30.59,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,16,******,30.58,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,16,******,30.58,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,270,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,21,16,******,30.58,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,21,14,******,30.58,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,240,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,16,******,30.57,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,16,******,30.56,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,16,******,30.55,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,14,******,30.55,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,16,******,30.56,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,14,******,30.55,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,200,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,14,******,30.54,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,190,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,21,14,******,30.54,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,250,6,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,23,16,******,30.53,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,180,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,25,14,******,30.53,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,27,14,******,30.53,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,25,16,******,30.53,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,28,18,******,30.53,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,30,19,******,30.53,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,32,19,******,30.52,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,32,19,******,30.52,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,360,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,34,23,******,30.52,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,360,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,34,19,******,30.52,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,10,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,36,19,******,30.51,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,37,21,******,30.5,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,39,18,******,30.48,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,41,18,******,30.47,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,100,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,43,18,******,30.45,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,60,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,43,18,******,30.45,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,43,19,******,30.44,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,45,19,******,30.42,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,45,19,******,30.41,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,45,19,******,30.41,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,46,19,******,30.39,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,46,19,******,30.38,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,48,19,******,30.38,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,48,19,******,30.38,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,30,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,48,19,******,30.38,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,48,19,******,30.38,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,10,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,46,18,******,30.37,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,360,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,43,19,******,30.37,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,310,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,43,19,******,30.37,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,270,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,43,19,******,30.36,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,41,19,******,30.35,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,41,19,******,30.35,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,37,21,******,30.34,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,230,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,37,21,******,30.33,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,37,21,******,30.33,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,36,21,******,30.32,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,270,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,34,21,******,30.32,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,36,21,******,30.31,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,34,21,******,30.31,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,34,23,******,30.3,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,34,23,******,30.3,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,32,23,******,30.29,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,36,21,******,30.28,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,210,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,34,21,******,30.27,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,240,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,36,21,******,30.26,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,34,21,******,30.26,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,200,5,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,36,19,******,30.26,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,34,21,******,30.26,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,320,6,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,36,21,******,30.24,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,36,19,******,30.24,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,36,19,******,30.23,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,330,3,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,32,19,******,30.23,******,***,***,*****,*****,*****,*****,**
720533,99999,2.01201E+11,***,0,***,722,CLR,*,*,*,10,**,**,**,**,**,**,**,**,*,36,18,******,30.21,******,***,***,*****,*****,*****,*****,**
